Student_ID,Gender,Age,Course,GPA,Stress_Level,Time_Management_Score,Sleep_Hours,Exercise_Frequency,Mentorship_Access,EI_Score,AI_Awareness_Level,Social_Media_Hours,Part_Time_Job,Study_Technique_Effectiveness,Simulated_Response,Sentiment,HERA_Recommendation
S0020,Female,20,BCA,5.97,2,3,6.9,Never,Yes,99.15,Low,3.7,Yes,2,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0021,Male,23,BCA,6.29,5,1,5.1,Few times a week,Yes,96.25,Moderate,0.6,No,2,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0022,Male,18,B.Tech CSE,7.07,5,1,5.3,Never,Yes,89.28,Moderate,3.8,Yes,1,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0023,Female,19,B.Tech CSE,8.4,2,4,5.5,Daily,Yes,66.29,Moderate,0.1,No,2,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0024,Female,24,BCA,7.06,4,4,6.2,Rarely,Yes,90.85,High,4.2,Yes,5,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0025,Male,20,MCA,6.35,1,3,7.2,Rarely,No,70.44,Moderate,4.7,No,4,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0026,Male,19,MCA,6.94,3,3,6.9,Rarely,No,66.34,High,0.9,No,2,"Sometimes I manage well, but I do feel pressure during exams. I have a balanced approach but get stressed occasionally.",Neutral,Time Management Technique
S0027,Male,20,B.Tech IT,6.37,5,5,6.5,Rarely,No,87.24,Low,3.5,Yes,2,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0028,Other,22,B.Tech AI,7.6,3,2,7.2,Never,Yes,53.98,High,4.6,No,3,I feel overwhelmed and stressed about my studies. I have a balanced approach but get stressed occasionally.,Neutral,Time Management Technique
S0029,Other,21,MCA,6.29,4,3,7.3,Rarely,Yes,52.43,High,2.3,Yes,2,I feel overwhelmed and stressed about my studies. Deadlines and exams make me anxious.,Negative,Relaxation Exercise + Talk to Mentor
S0030,Other,22,B.Tech CSE,6.49,5,4,6.9,Never,Yes,72.4,Moderate,4,Yes,5,"Sometimes I manage well, but I do feel pressure during exams. Deadlines and exams make me anxious.",Negative,Emotion Diary Entry + Self-reflection Prompt
S0031,Female,23,MCA,8.16,3,3,4.8,Few times a week,No,72.28,Low,-1.2,No,4,"Sometimes I manage well, but I do feel pressure during exams. I have a balanced approach but get stressed occasionally.",Neutral,Time Management Technique
S0032,Other,19,B.Tech IT,6.23,4,1,5.8,Rarely,Yes,94.78,Low,4.6,Yes,3,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0033,Female,23,B.Tech IT,5.55,1,2,6.5,Never,No,56.31,Moderate,3,Yes,1,I feel overwhelmed and stressed about my studies. I handle academic pressure quite well.,Neutral,Time Management Technique
S0034,Female,21,B.Tech AI,7.09,4,5,7.2,Rarely,Yes,56.16,Low,2.6,No,1,I feel overwhelmed and stressed about my studies. Deadlines and exams make me anxious.,Negative,Relaxation Exercise + Talk to Mentor
S0035,Other,20,MCA,6.64,5,1,5.2,Rarely,Yes,57.37,Low,4.5,Yes,4,I feel overwhelmed and stressed about my studies. Deadlines and exams make me anxious.,Negative,Relaxation Exercise + Talk to Mentor
S0036,Female,21,B.Tech CSE,7.51,2,1,6.5,Rarely,Yes,51.49,Low,5.6,Yes,1,I feel overwhelmed and stressed about my studies. I handle academic pressure quite well.,Neutral,Time Management Technique
S0037,Other,18,B.Tech CSE,7.32,1,2,4.9,Never,No,53.59,Moderate,3.7,No,5,I feel overwhelmed and stressed about my studies. I handle academic pressure quite well.,Neutral,Time Management Technique
S0038,Other,21,BCA,6.97,3,5,7.5,Daily,Yes,82.99,Low,5.4,Yes,2,I feel confident in managing my academics and emotions. I have a balanced approach but get stressed occasionally.,Positive,Motivational Boost + Peer Collaboration
S0039,Male,18,B.Tech CSE,6.94,5,4,6.7,Rarely,No,71.58,High,0.7,Yes,4,"Sometimes I manage well, but I do feel pressure during exams. Deadlines and exams make me anxious.",Negative,Emotion Diary Entry + Self-reflection Prompt
S0040,Other,21,B.Tech AI,6.26,2,5,5.2,Rarely,Yes,88.18,High,4,No,3,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0041,Male,24,B.Tech AI,7.08,4,3,5.1,Few times a week,Yes,99.63,Low,2.8,Yes,2,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0042,Other,18,B.Tech CSE,7.88,2,1,6.9,Daily,No,82.95,Moderate,1.8,Yes,1,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0043,Other,19,B.Tech CSE,6.03,5,3,7.9,Never,Yes,52.52,Moderate,0.1,No,1,I feel overwhelmed and stressed about my studies. Deadlines and exams make me anxious.,Negative,Relaxation Exercise + Talk to Mentor
S0044,Male,23,BCA,6.99,5,4,5.4,Few times a week,Yes,55.23,Moderate,3.9,Yes,3,I feel overwhelmed and stressed about my studies. Deadlines and exams make me anxious.,Negative,Relaxation Exercise + Talk to Mentor
S0045,Male,23,B.Tech CSE,8.04,2,3,7.3,Rarely,Yes,94.05,Low,4.3,Yes,5,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0046,Other,22,BCA,7.51,4,5,6,Few times a week,Yes,76.37,Low,5,No,3,"Sometimes I manage well, but I do feel pressure during exams. Deadlines and exams make me anxious.",Negative,Emotion Diary Entry + Self-reflection Prompt
S0047,Female,23,BCA,8.31,2,3,7.3,Few times a week,No,91.24,High,4.8,No,4,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0048,Male,20,B.Tech CSE,6.43,5,4,7.2,Rarely,No,92.83,Moderate,1.8,Yes,3,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0049,Female,24,B.Tech IT,5.17,5,4,6.7,Daily,Yes,96.38,High,4.9,Yes,1,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0050,Female,21,B.Tech IT,7.2,3,4,4.7,Daily,Yes,97.49,High,5.1,No,5,I feel confident in managing my academics and emotions. I have a balanced approach but get stressed occasionally.,Positive,Motivational Boost + Peer Collaboration
S0051,Female,22,BCA,7.36,3,5,7.2,Few times a week,No,77.74,Moderate,2.6,Yes,5,"Sometimes I manage well, but I do feel pressure during exams. I have a balanced approach but get stressed occasionally.",Neutral,Time Management Technique
S0052,Male,20,B.Tech CSE,8.37,1,4,7,Rarely,Yes,67.05,Low,3,Yes,3,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0053,Female,20,B.Tech IT,8.19,5,1,6.9,Never,No,98.09,Low,1.6,Yes,4,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0054,Male,18,B.Tech CSE,7.54,3,4,6.7,Few times a week,Yes,77.37,High,5.2,No,1,"Sometimes I manage well, but I do feel pressure during exams. I have a balanced approach but get stressed occasionally.",Neutral,Time Management Technique
S0055,Female,23,B.Tech CSE,7.77,2,3,5.6,Never,No,53.21,High,0.7,Yes,2,I feel overwhelmed and stressed about my studies. I handle academic pressure quite well.,Neutral,Time Management Technique
S0056,Other,19,B.Tech CSE,6.81,4,3,7.6,Few times a week,No,82.14,High,3.8,Yes,5,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0057,Other,19,MCA,5.78,2,3,7.4,Few times a week,No,79.38,High,2.1,No,3,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0058,Male,22,B.Tech CSE,7.12,4,5,5.4,Rarely,No,94.79,Moderate,1.3,No,4,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0059,Other,24,MCA,7.98,3,3,7.8,Rarely,Yes,82.66,High,0.2,No,4,I feel confident in managing my academics and emotions. I have a balanced approach but get stressed occasionally.,Positive,Motivational Boost + Peer Collaboration
S0060,Other,19,BCA,7.66,1,5,6.6,Never,Yes,67.45,High,2.7,Yes,1,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0061,Female,21,B.Tech IT,7.83,2,5,6.6,Never,No,98.31,Low,1.1,Yes,5,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0062,Male,19,B.Tech IT,6.57,2,4,6.3,Daily,No,90.08,Low,3.1,No,1,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0063,Female,22,B.Tech IT,6.73,2,1,6.4,Rarely,No,81.52,Low,5.7,Yes,2,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0064,Female,19,B.Tech IT,7.48,4,4,7.9,Few times a week,No,64.65,Moderate,3.3,Yes,2,"Sometimes I manage well, but I do feel pressure during exams. Deadlines and exams make me anxious.",Negative,Emotion Diary Entry + Self-reflection Prompt
S0065,Female,21,B.Tech IT,6.45,3,4,7.5,Few times a week,Yes,68.68,Moderate,6,Yes,2,"Sometimes I manage well, but I do feel pressure during exams. I have a balanced approach but get stressed occasionally.",Neutral,Time Management Technique
S0066,Female,18,B.Tech IT,6.48,2,5,7.5,Daily,No,83.5,Low,1.5,Yes,4,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0067,Female,24,B.Tech IT,7.3,2,5,6.7,Rarely,No,53.6,Low,1.1,No,5,I feel overwhelmed and stressed about my studies. I handle academic pressure quite well.,Neutral,Time Management Technique
S0068,Female,22,BCA,7.76,1,3,7.4,Few times a week,No,62.83,High,1.5,No,1,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0069,Female,18,B.Tech CSE,6.8,1,3,5.7,Daily,No,85.7,High,2.9,Yes,1,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0070,Male,18,B.Tech AI,5.84,3,4,7.1,Daily,No,74,Moderate,7.1,No,2,"Sometimes I manage well, but I do feel pressure during exams. I have a balanced approach but get stressed occasionally.",Neutral,Time Management Technique
S0071,Other,18,MCA,6.26,3,2,6.3,Few times a week,No,70.12,Moderate,0.5,Yes,5,"Sometimes I manage well, but I do feel pressure during exams. I have a balanced approach but get stressed occasionally.",Neutral,Time Management Technique
S0072,Female,20,B.Tech AI,7.2,5,2,4.4,Few times a week,No,57.57,High,3.9,Yes,5,I feel overwhelmed and stressed about my studies. Deadlines and exams make me anxious.,Negative,Relaxation Exercise + Talk to Mentor
S0073,Female,24,B.Tech AI,7.19,1,3,4.9,Never,Yes,72.09,Low,2,No,3,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0074,Female,23,B.Tech CSE,7.24,5,2,5.8,Rarely,No,88.53,High,2.7,No,5,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0075,Female,24,B.Tech CSE,7.52,4,3,6.9,Never,No,63.2,Moderate,1.1,Yes,5,"Sometimes I manage well, but I do feel pressure during exams. Deadlines and exams make me anxious.",Negative,Emotion Diary Entry + Self-reflection Prompt
S0076,Female,20,B.Tech CSE,7.01,5,5,5.8,Daily,No,50.27,Moderate,4.3,Yes,1,I feel overwhelmed and stressed about my studies. Deadlines and exams make me anxious.,Negative,Relaxation Exercise + Talk to Mentor
S0077,Female,23,B.Tech IT,7.27,2,4,5.9,Few times a week,Yes,83.43,High,2.9,Yes,5,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0078,Other,24,BCA,6.95,5,1,7.3,Never,Yes,98.63,High,4.6,Yes,5,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0079,Other,18,B.Tech IT,8.15,3,4,5.9,Daily,Yes,80.34,High,3.3,No,1,I feel confident in managing my academics and emotions. I have a balanced approach but get stressed occasionally.,Positive,Motivational Boost + Peer Collaboration
S0080,Female,22,BCA,8.43,4,3,7.8,Rarely,No,56,Moderate,0.1,No,5,I feel overwhelmed and stressed about my studies. Deadlines and exams make me anxious.,Negative,Relaxation Exercise + Talk to Mentor
S0081,Other,23,BCA,5.81,2,3,7.7,Few times a week,No,66.04,Low,4.6,Yes,1,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0082,Male,21,B.Tech AI,6.74,5,4,6.5,Never,No,93.38,High,0,Yes,3,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0083,Female,21,B.Tech AI,7.03,4,3,7.3,Rarely,Yes,61.63,Moderate,0.2,No,4,"Sometimes I manage well, but I do feel pressure during exams. Deadlines and exams make me anxious.",Negative,Emotion Diary Entry + Self-reflection Prompt
S0084,Male,19,BCA,6.73,4,2,7.1,Never,No,80.38,Moderate,1.6,Yes,1,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0085,Male,23,BCA,8.79,2,2,6.3,Daily,Yes,70.13,Moderate,1.6,No,1,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0086,Female,22,B.Tech IT,7.22,5,3,7.4,Rarely,Yes,60.39,High,5.1,Yes,5,"Sometimes I manage well, but I do feel pressure during exams. Deadlines and exams make me anxious.",Negative,Emotion Diary Entry + Self-reflection Prompt
S0087,Other,20,B.Tech IT,6.19,4,3,7.5,Never,Yes,90.67,High,2.7,No,1,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0088,Male,18,B.Tech AI,7.6,4,2,5.5,Rarely,Yes,87.14,Low,4.9,Yes,2,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0089,Female,19,B.Tech CSE,7.27,1,3,6.7,Daily,Yes,83.08,Moderate,2.1,Yes,2,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0090,Male,21,BCA,7.3,4,3,6.6,Rarely,No,61.82,High,3.5,Yes,3,"Sometimes I manage well, but I do feel pressure during exams. Deadlines and exams make me anxious.",Negative,Emotion Diary Entry + Self-reflection Prompt
S0091,Male,20,B.Tech IT,8.81,1,4,7.3,Never,No,54.89,Moderate,3.7,No,1,I feel overwhelmed and stressed about my studies. I handle academic pressure quite well.,Neutral,Time Management Technique
S0092,Male,20,B.Tech AI,7.35,5,1,6.1,Daily,Yes,78.81,Moderate,4,No,5,"Sometimes I manage well, but I do feel pressure during exams. Deadlines and exams make me anxious.",Negative,Emotion Diary Entry + Self-reflection Prompt
S0093,Male,18,B.Tech IT,6.7,5,2,5.9,Few times a week,No,77.68,Low,2.3,Yes,5,"Sometimes I manage well, but I do feel pressure during exams. Deadlines and exams make me anxious.",Negative,Emotion Diary Entry + Self-reflection Prompt
S0094,Other,23,BCA,5.04,5,4,6.7,Never,No,59.42,High,2.4,Yes,4,I feel overwhelmed and stressed about my studies. Deadlines and exams make me anxious.,Negative,Relaxation Exercise + Talk to Mentor
S0095,Male,21,BCA,6.83,3,1,7.7,Never,Yes,52.81,High,2.6,Yes,3,I feel overwhelmed and stressed about my studies. I have a balanced approach but get stressed occasionally.,Neutral,Time Management Technique
S0096,Male,22,MCA,8.31,5,3,5.3,Daily,Yes,54.04,Moderate,0.5,Yes,5,I feel overwhelmed and stressed about my studies. Deadlines and exams make me anxious.,Negative,Relaxation Exercise + Talk to Mentor
S0097,Male,20,B.Tech CSE,6.91,4,3,5.5,Daily,No,99.64,Moderate,2.9,No,4,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0098,Other,18,MCA,4.76,2,4,6,Few times a week,No,89.18,Low,2.4,No,5,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0099,Male,22,B.Tech AI,6.5,1,3,6.2,Never,No,96.1,Low,3.9,No,4,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0100,Male,23,B.Tech IT,7.99,3,5,4.7,Daily,No,59.75,Low,3.1,Yes,2,I feel overwhelmed and stressed about my studies. I have a balanced approach but get stressed occasionally.,Neutral,Time Management Technique
S0101,Other,21,B.Tech AI,7.55,5,4,8,Few times a week,Yes,98.03,Low,5,Yes,2,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0102,Other,23,BCA,6.16,5,1,6.4,Few times a week,No,57.13,Low,3.1,No,5,I feel overwhelmed and stressed about my studies. Deadlines and exams make me anxious.,Negative,Relaxation Exercise + Talk to Mentor
S0103,Other,20,MCA,6.43,2,4,6.2,Daily,Yes,75.45,Low,2.2,Yes,3,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0104,Male,22,MCA,6.59,2,2,8.1,Never,Yes,91.48,Moderate,3.1,No,1,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0105,Other,22,MCA,6.34,3,4,7.2,Rarely,No,67.49,Low,4.1,No,3,"Sometimes I manage well, but I do feel pressure during exams. I have a balanced approach but get stressed occasionally.",Neutral,Time Management Technique
S0106,Other,22,B.Tech AI,4.97,1,3,6,Rarely,No,71.24,Moderate,0.3,No,3,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0107,Male,20,BCA,7.76,5,3,6.7,Few times a week,No,56.41,Moderate,1.9,No,1,I feel overwhelmed and stressed about my studies. Deadlines and exams make me anxious.,Negative,Relaxation Exercise + Talk to Mentor
S0108,Other,20,B.Tech IT,8.26,3,5,6.5,Rarely,Yes,56.15,High,2,Yes,2,I feel overwhelmed and stressed about my studies. I have a balanced approach but get stressed occasionally.,Neutral,Time Management Technique
S0109,Male,23,B.Tech IT,5.48,4,5,7.9,Rarely,Yes,80.98,Moderate,3.6,No,2,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0110,Female,19,B.Tech AI,8.24,4,5,6.3,Daily,Yes,83.78,Moderate,3.8,Yes,1,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0111,Other,23,MCA,6.9,3,1,5.1,Few times a week,Yes,88.87,Low,3.2,No,4,I feel confident in managing my academics and emotions. I have a balanced approach but get stressed occasionally.,Positive,Motivational Boost + Peer Collaboration
S0112,Female,21,B.Tech CSE,8.23,5,5,4.6,Never,No,77.83,Moderate,-0.7,No,3,"Sometimes I manage well, but I do feel pressure during exams. Deadlines and exams make me anxious.",Negative,Emotion Diary Entry + Self-reflection Prompt
S0113,Male,18,B.Tech AI,7.04,3,1,8,Few times a week,Yes,82.29,Low,0.5,No,5,I feel confident in managing my academics and emotions. I have a balanced approach but get stressed occasionally.,Positive,Motivational Boost + Peer Collaboration
S0114,Other,22,B.Tech AI,7.14,5,5,5.7,Daily,Yes,50.68,Low,2.6,No,2,I feel overwhelmed and stressed about my studies. Deadlines and exams make me anxious.,Negative,Relaxation Exercise + Talk to Mentor
S0115,Male,19,BCA,7.37,2,1,7.2,Rarely,No,58.11,Low,2.2,Yes,5,I feel overwhelmed and stressed about my studies. I handle academic pressure quite well.,Neutral,Time Management Technique
S0116,Female,18,B.Tech IT,6.21,3,4,6.6,Never,Yes,99.25,High,3,Yes,1,I feel confident in managing my academics and emotions. I have a balanced approach but get stressed occasionally.,Positive,Motivational Boost + Peer Collaboration
S0117,Male,19,B.Tech AI,8.19,5,4,6.1,Few times a week,Yes,53.8,Low,2.3,Yes,5,I feel overwhelmed and stressed about my studies. Deadlines and exams make me anxious.,Negative,Relaxation Exercise + Talk to Mentor
S0118,Other,24,B.Tech AI,5.88,3,3,6.2,Rarely,No,83.94,Moderate,5.3,Yes,5,I feel confident in managing my academics and emotions. I have a balanced approach but get stressed occasionally.,Positive,Motivational Boost + Peer Collaboration
S0119,Other,23,MCA,6.6,3,1,8.1,Few times a week,Yes,58.8,Low,-0.4,No,3,I feel overwhelmed and stressed about my studies. I have a balanced approach but get stressed occasionally.,Neutral,Time Management Technique
S0120,Female,20,MCA,7.52,5,2,5.1,Never,Yes,85.84,Low,3.5,Yes,1,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0121,Male,22,B.Tech CSE,6.49,5,3,6.1,Few times a week,Yes,85.3,Low,4.2,Yes,5,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0122,Other,23,BCA,7.78,1,4,7.4,Few times a week,Yes,61.71,High,4.1,No,2,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0123,Female,18,B.Tech CSE,8.38,3,1,5.2,Few times a week,No,63.48,Moderate,4.2,Yes,1,"Sometimes I manage well, but I do feel pressure during exams. I have a balanced approach but get stressed occasionally.",Neutral,Time Management Technique
S0124,Other,24,MCA,8.01,4,5,7.8,Rarely,Yes,82.74,High,4.4,Yes,2,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0125,Other,24,B.Tech IT,5.06,3,2,7.4,Never,No,69.5,Moderate,2.1,Yes,4,"Sometimes I manage well, but I do feel pressure during exams. I have a balanced approach but get stressed occasionally.",Neutral,Time Management Technique
S0126,Male,24,MCA,7.13,3,4,6.8,Never,Yes,59.73,High,1.3,Yes,5,I feel overwhelmed and stressed about my studies. I have a balanced approach but get stressed occasionally.,Neutral,Time Management Technique
S0127,Other,18,BCA,8.03,5,3,6,Rarely,No,86.58,Moderate,-0.1,No,1,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0128,Male,18,MCA,5.68,3,1,5.1,Rarely,No,57.71,High,2.5,No,2,I feel overwhelmed and stressed about my studies. I have a balanced approach but get stressed occasionally.,Neutral,Time Management Technique
S0129,Other,18,BCA,7.72,3,2,7.2,Rarely,No,92.78,Low,1.8,Yes,5,I feel confident in managing my academics and emotions. I have a balanced approach but get stressed occasionally.,Positive,Motivational Boost + Peer Collaboration
S0130,Female,18,BCA,7.67,4,1,9.2,Daily,Yes,75.73,High,4.7,No,3,"Sometimes I manage well, but I do feel pressure during exams. Deadlines and exams make me anxious.",Negative,Emotion Diary Entry + Self-reflection Prompt
S0131,Other,24,BCA,5.79,5,5,6.6,Few times a week,Yes,55.29,High,2.6,Yes,2,I feel overwhelmed and stressed about my studies. Deadlines and exams make me anxious.,Negative,Relaxation Exercise + Talk to Mentor
