Student_ID,Age,Gender,Academic_Performance,AI_Exposure_Level,EI_Score,Preferred_AI_Feature,Satisfaction_With_AI_Interaction,Emotion_Recognition_By_AI_Accuracy (%),Willingness_To_Use_EI_Aware_AI_Tools,Simulated_Response,Sentiment,HERA_Recommendation
S1047,21,Female,8.22,Low,80,Emotional Support Bot,5,91.82,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1048,19,Other,7.63,Low,68,Emotional Support Bot,3,75.12,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1049,23,Male,8.66,Medium,48,Emotional Support Bot,4,50.72,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1050,21,Male,5.41,Medium,52,Feedback System,5,90.15,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1051,25,Female,5.3,High,45,TutorBot,4,99.04,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1052,23,Other,6.24,Medium,45,Emotional Support Bot,1,80.3,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1053,18,Other,5.8,Medium,59,Emotional Support Bot,4,75.19,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1054,20,Female,9.36,Low,91,Chatbot,2,93.92,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1055,25,Female,6.1,Low,92,Emotional Support Bot,2,97.63,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1056,28,Other,9.88,Low,42,TutorBot,5,87.73,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1057,18,Male,6.68,Low,56,TutorBot,4,72.27,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1058,26,Other,5.91,Low,88,Chatbot,5,79.61,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1059,25,Female,8.95,Low,51,Emotional Support Bot,3,85.05,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1060,26,Male,8.29,Low,87,Emotional Support Bot,2,59.71,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1061,21,Male,7.49,High,86,Emotional Support Bot,5,72.36,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1062,18,Female,7.78,High,84,Feedback System,3,91.49,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1063,20,Female,8.6,High,94,Emotional Support Bot,5,82.74,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1064,28,Female,6.14,High,40,TutorBot,4,70.56,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1065,28,Other,9.98,Low,56,TutorBot,4,83.17,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1066,23,Other,9.87,High,42,Feedback System,4,55.91,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1067,28,Male,8.25,Low,65,Feedback System,4,70.07,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1068,29,Female,6,High,54,Emotional Support Bot,1,89.66,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1069,24,Male,8.4,Medium,75,Chatbot,3,61.03,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1070,19,Male,5.36,High,71,Feedback System,3,59.3,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1071,17,Male,5.15,High,71,Feedback System,4,97.54,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1072,20,Male,6.29,Low,43,Emotional Support Bot,1,60.49,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1073,18,Female,7.31,High,57,Emotional Support Bot,4,63.05,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1074,24,Male,9.34,Medium,88,Feedback System,1,98.48,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1075,20,Female,8.64,Low,58,Chatbot,4,86.74,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1076,18,Female,8.71,Low,82,Feedback System,2,84.98,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1077,22,Other,7.13,High,91,Emotional Support Bot,2,92.65,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1078,22,Female,6.73,Low,74,Emotional Support Bot,5,55.79,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1079,26,Other,6.86,Low,79,Feedback System,4,85.3,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1080,20,Female,9.94,Low,53,Chatbot,3,75.18,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1081,22,Female,5.2,Low,97,Feedback System,5,91.46,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1082,29,Female,9.34,Low,72,Feedback System,2,75.41,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1083,18,Other,7.89,Low,53,Emotional Support Bot,4,81.01,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1084,26,Other,7.19,Medium,73,Chatbot,5,73.89,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1085,28,Male,8.63,High,100,TutorBot,4,73.91,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1086,18,Other,7.43,Medium,94,Chatbot,2,88.4,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1087,26,Other,9.37,Low,43,Feedback System,5,81.43,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1088,20,Other,9.5,Low,63,Feedback System,2,81.66,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1089,24,Other,7.11,High,98,Feedback System,1,72.51,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1090,23,Male,6.38,Medium,68,Chatbot,2,76.56,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1091,28,Other,7.96,High,58,Emotional Support Bot,4,87.29,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1092,25,Female,9.56,Medium,45,Feedback System,3,91.3,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1093,24,Female,6.05,Low,96,Feedback System,2,84.83,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1094,21,Other,8.11,High,72,Chatbot,3,96.2,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1095,29,Other,8.16,High,88,TutorBot,1,91.02,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1096,18,Female,8.67,Low,79,TutorBot,5,78.09,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1097,21,Female,5.66,High,58,Emotional Support Bot,5,83.57,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1098,24,Male,8.58,Medium,92,Emotional Support Bot,3,96.32,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1099,26,Female,9.55,Medium,40,Feedback System,5,80.96,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1100,25,Female,5.9,Medium,44,Chatbot,2,91.24,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1101,28,Other,6.19,Medium,66,Feedback System,3,84.44,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1102,28,Female,9.86,Low,55,Emotional Support Bot,4,77.6,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1103,28,Male,5.9,High,45,Chatbot,2,62.09,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1104,29,Female,9.27,Medium,79,Chatbot,2,71.3,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1105,25,Other,7.46,Low,52,Emotional Support Bot,2,98.39,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1106,29,Other,6.24,High,87,TutorBot,4,82.89,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1107,29,Female,9.35,High,74,TutorBot,1,78.22,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1108,17,Other,7.23,Low,58,Chatbot,5,96.65,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1109,25,Male,7.57,Low,51,Feedback System,3,79.33,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1110,23,Male,6.8,Medium,55,TutorBot,1,76.3,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1111,25,Female,7.96,High,98,Feedback System,3,87.97,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1112,24,Female,5.82,High,82,TutorBot,5,85.63,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1113,17,Female,6.96,Low,49,TutorBot,4,59.66,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1114,28,Other,9.85,High,64,Feedback System,2,73.57,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1115,24,Male,6.29,Medium,59,Emotional Support Bot,2,73.63,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1116,24,Male,8.28,High,70,TutorBot,4,68.91,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1117,27,Other,6.63,Low,43,TutorBot,1,75.86,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1118,19,Male,8.87,Low,83,Feedback System,1,70.66,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1119,17,Female,5.65,Medium,62,Emotional Support Bot,3,59.97,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1120,24,Female,9.85,Medium,41,TutorBot,4,70.62,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1121,19,Female,7.27,High,95,TutorBot,1,53.61,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1122,19,Male,6.18,High,61,Emotional Support Bot,4,78.79,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1123,17,Female,5.37,Low,90,TutorBot,5,92.68,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1124,27,Other,5.85,Medium,96,Emotional Support Bot,2,86.26,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1125,21,Other,7.6,Medium,76,Emotional Support Bot,2,68.02,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1126,26,Male,6.69,Medium,47,Feedback System,2,54.35,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1127,23,Other,9.14,High,46,Chatbot,4,60.11,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1128,26,Other,7.15,Medium,53,Emotional Support Bot,4,77.27,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1129,25,Male,6.24,Low,95,Feedback System,3,60.35,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1130,28,Female,8.09,Low,94,Chatbot,2,77.2,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1131,23,Female,8.53,High,42,TutorBot,3,61.58,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1132,25,Female,5.84,High,89,Chatbot,2,92.45,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1133,24,Male,5.84,Medium,55,Emotional Support Bot,3,69.86,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1134,28,Other,5.18,High,94,Emotional Support Bot,3,62.28,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1135,18,Female,8.68,Low,58,Emotional Support Bot,5,90.62,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1136,17,Female,8.32,Medium,90,Emotional Support Bot,3,67.14,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1137,23,Male,7.37,Low,57,Emotional Support Bot,4,55.57,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1138,23,Female,9.22,Medium,91,Feedback System,3,78.52,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1139,24,Male,9.03,High,55,Emotional Support Bot,2,79.08,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1140,21,Other,7.93,Medium,47,Feedback System,3,85.73,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1141,19,Male,9.34,Medium,99,TutorBot,1,62.01,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1142,28,Male,6.03,Low,72,Emotional Support Bot,2,72.19,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1143,24,Male,5.56,Low,88,Emotional Support Bot,1,64.12,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1144,22,Male,6.35,Medium,51,Chatbot,2,54.05,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1145,27,Other,5.29,High,92,TutorBot,4,93.83,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1146,19,Other,7.66,High,50,Emotional Support Bot,4,86.44,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1147,17,Female,9.68,Low,44,Emotional Support Bot,4,65.07,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1148,19,Other,5.2,High,66,TutorBot,1,79.97,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1149,21,Other,5.61,Low,51,Feedback System,5,60.06,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1150,19,Female,7.26,High,56,Emotional Support Bot,2,94.51,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1151,17,Other,9.67,Medium,45,Chatbot,4,55.75,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1152,21,Male,6.58,Low,72,Emotional Support Bot,2,50.19,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1153,26,Male,7.54,Low,44,Chatbot,1,75.1,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1154,23,Female,5.21,Medium,96,Chatbot,5,79.16,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1155,23,Female,5.74,Low,67,Emotional Support Bot,1,78.95,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1156,27,Female,9.93,High,53,Emotional Support Bot,2,52.73,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1157,25,Male,9.83,High,44,Chatbot,5,65.7,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1158,26,Other,5.02,Low,93,TutorBot,5,74.96,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1159,26,Male,9.76,High,95,TutorBot,1,60.83,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1160,28,Female,8.2,Low,98,Emotional Support Bot,4,93.63,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1161,29,Other,9.34,Medium,72,Feedback System,2,54.36,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1162,19,Other,7.27,Low,89,TutorBot,3,74.37,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1163,23,Male,7.58,Medium,87,Emotional Support Bot,3,84.57,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1164,17,Female,7.44,High,80,TutorBot,1,63.09,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1165,20,Male,8.33,Medium,58,Feedback System,2,81.21,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1166,29,Other,5.7,High,61,Emotional Support Bot,2,91.47,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1167,20,Male,5.15,Low,44,Feedback System,1,59.52,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1168,21,Male,6.54,High,98,Emotional Support Bot,2,95.86,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1169,23,Female,8.52,Low,41,Feedback System,4,77.68,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1170,23,Female,6.01,Low,69,TutorBot,1,64.96,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1171,29,Other,8.37,Medium,86,TutorBot,4,71.54,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1172,27,Male,9.85,Medium,78,Feedback System,2,65.61,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1173,29,Male,5.47,Medium,43,Feedback System,1,86.26,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1174,20,Male,8.36,Medium,72,Feedback System,2,89.82,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1175,29,Other,7.22,High,52,Emotional Support Bot,1,91.65,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1176,23,Other,9.34,High,59,TutorBot,2,99.29,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1177,27,Female,5.89,High,93,Emotional Support Bot,4,89.56,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1178,19,Female,8.46,Low,46,TutorBot,4,80.07,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1179,22,Female,9.19,High,54,Chatbot,2,66.96,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1180,28,Male,9.72,High,62,Emotional Support Bot,1,77.23,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1181,18,Male,8.42,High,53,TutorBot,3,52.05,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1182,26,Female,7.49,Medium,62,TutorBot,4,87.24,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1183,29,Male,8.09,High,58,Emotional Support Bot,4,72.3,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1184,25,Female,9.34,Low,93,Emotional Support Bot,3,51,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1185,21,Other,7.85,Medium,68,TutorBot,2,53.13,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1186,22,Female,5.15,Low,95,Emotional Support Bot,1,69.37,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1187,28,Other,9.65,High,59,Feedback System,2,79.17,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1188,28,Male,8.45,Medium,68,Emotional Support Bot,5,73.21,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1189,28,Female,8.38,Low,63,Emotional Support Bot,4,80.96,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1190,28,Male,6.08,High,57,Emotional Support Bot,5,74.01,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1191,20,Other,8.29,Low,49,TutorBot,4,83.09,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1192,27,Other,6.97,Low,80,Feedback System,4,60.96,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1193,26,Other,8.26,Low,96,Chatbot,5,55.64,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1194,23,Male,5.53,High,47,Chatbot,5,79.82,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1195,28,Male,8.29,High,65,Feedback System,2,74.23,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
